name,surface_area,bedroom_number,year,price
Sunny Villa Estate,2450,4,2018,750000
Downtown Loft Apartment,850,1,2020,425000
Suburban Family Home,1800,3,2015,520000
Oceanview Penthouse,3200,5,2021,1250000
Cozy Starter Home,1200,2,2010,285000
Historic Brownstone,2100,3,1925,680000
Modern Townhouse,1650,3,2022,595000
Country Farmhouse,2800,4,1998,465000
Urban Studio,450,0,2019,195000
Luxury Mansion,5500,6,2017,2100000
Garden Cottage,950,2,2008,315000
Executive Condo,1450,2,2020,485000
Victorian House,2350,4,1890,625000
Beachfront Bungalow,1100,2,2012,890000
Mountain Cabin,800,1,2005,225000
Contemporary Ranch,1950,3,2016,545000
Art Deco Apartment,1300,2,1935,510000
Eco-Friendly Home,2000,3,2023,625000
Riverside Retreat,1750,3,2014,475000
City Center Flat,750,1,2021,365000
Colonial Estate,2900,5,1985,715000
Minimalist Loft,1050,1,2019,445000
Family Duplex,2400,4,2013,580000
Boutique Condo,900,1,2020,395000
Traditional Cape Cod,1600,3,2007,425000
Industrial Warehouse Conversion,2200,2,2018,675000
Lakefront Lodge,1900,3,2011,535000
Spanish Style Villa,2750,4,2009,695000
High-Rise Apartment,1100,2,2022,475000
Rustic Log Home,1400,2,2003,385000
